time,flux,flux_error
0.0000000000,1.0113590464,0.0080000000
0.0509648777,1.0503728568,0.0080000000
0.1231048064,1.0874103262,0.0080000000
0.1783570879,1.0891226668,0.0080000000
0.2306515444,1.0571171189,0.0080000000
0.2946686006,1.0346703401,0.0080000000
0.3543952731,1.0293382335,0.0080000000
0.4206779381,1.0067456570,0.0080000000
0.4647018770,0.9912184441,0.0080000000
0.5303538987,0.9455190104,0.0080000000
0.5862773260,0.9264374500,0.0080000000
0.6479834016,0.9175528456,0.0080000000
0.6988778498,0.9214341591,0.0080000000
0.7595940258,0.9769227212,0.0080000000
0.8259509994,1.0395819673,0.0080000000
0.8731625472,1.0643830413,0.0080000000
0.9435530867,1.0860799806,0.0080000000
1.0044264099,1.0687039425,0.0080000000
1.0583123715,1.0443522593,0.0080000000
1.1152519136,1.0337943060,0.0080000000
1.1836595113,1.0170608964,0.0080000000
1.2321500035,1.0008371485,0.0080000000
1.2926194406,0.9766722845,0.0080000000
1.3536471573,0.9296537790,0.0080000000
1.4184202442,0.9017837009,0.0080000000
1.4776811136,0.9169580539,0.0080000000
1.5259324358,0.9372463435,0.0080000000
1.5843221476,0.9904636571,0.0080000000
1.6362283258,1.0450031301,0.0080000000
1.7093602248,1.0875219690,0.0080000000
1.7538488109,1.0826432848,0.0080000000
1.8214777906,1.0605032796,0.0080000000
1.8824925592,1.0451771219,0.0080000000
1.9323820602,1.0257910951,0.0080000000
1.9897400248,1.0059522042,0.0080000000
2.0493912311,1.0119383478,0.0080000000
2.1226437041,0.9460925340,0.0080000000
2.1718767338,0.9208366831,0.0080000000
2.2212807142,0.9058817422,0.0080000000
2.2941842158,0.9170764166,0.0080000000
2.3496029362,0.9419963298,0.0080000000
2.4121234261,1.0242152070,0.0080000000
2.4696177580,1.0717520712,0.0080000000
2.5305737687,1.0823119684,0.0080000000
2.5877640147,1.0708771280,0.0080000000
2.6486704666,1.0396060581,0.0080000000
2.6910395788,1.0364507680,0.0080000000
2.7687617288,1.0211788754,0.0080000000
2.8216216439,1.0193074080,0.0080000000
2.8738306130,0.9895921793,0.0080000000
2.9309312361,0.9392794417,0.0080000000
2.9971702118,0.9067031501,0.0080000000
3.0497204557,0.8869119146,0.0080000000
3.1061505472,0.9239962129,0.0080000000
3.1712159422,0.9881327219,0.0080000000
3.2375619812,1.0247063776,0.0080000000
3.2891629367,1.0849907814,0.0080000000
3.3526110948,1.0892729217,0.0080000000
3.4079379272,1.0676618390,0.0080000000
3.4686417445,1.0385250826,0.0080000000
3.5254629418,1.0459965212,0.0080000000
