retained_peak_id,frequency_day_inverse,power,retained_rank,is_operational_reference,is_dominant,alias_advisory,alias_reason_codes
retained_peak:observation:4a4591056283a9debf557521:0001,1.6821750714681922,0.6939659103903993,1,NO,YES,NO,
retained_peak:observation:4a4591056283a9debf557521:0002,3.37664581055596,0.1838201490023763,2,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0003,5.0488208820241525,0.07657642626026612,3,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0004,1.8382447448052235,0.03732095815758556,4,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0005,1.526105398131161,0.030004390193166367,5,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0006,6.74329162111192,0.02416717191453087,6,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0007,3.5327154838929915,0.00933187693769866,7,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0008,3.1982804695993527,0.009001004665273654,8,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0009,1.3031487219354019,0.005705495494249903,9,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0010,8.415466692580113,0.005382200649968422,10,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0011,2.083497088620558,0.0052423495678594,11,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0012,4.8927512086871205,0.004177278067874476,12,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0013,1.1693747162179466,0.0036479286237715933,13,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0014,5.2048905553611835,0.0034673321968275096,14,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0015,2.975323793403594,0.0031151743409169436,15,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0016,2.4179321029141967,0.0023874197143771217,16,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0017,3.7556721600887504,0.0018931358855641524,17,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0018,2.752367117207835,0.0018305455940501134,18,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0019,0.9464180400221877,0.001803658506773051,19,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0020,0.8349397019243081,0.001634733316611802,20,YES,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0021,6.899361294448951,0.0015491853805024648,21,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0022,4.090107174382389,0.001406421598269134,22,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0023,0.5005046876306697,0.0012591809461047192,23,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0024,4.536020526773907,0.0011997383544817798,24,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0025,5.338664561078639,0.0011185606645033657,25,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0026,0.16606967333703126,0.001097040297612615,26,NO,NO,YES,near_maximum_window_sidelobe
retained_peak:observation:4a4591056283a9debf557521:0027,6.587221947774889,0.0010939265826885015,27,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0028,10.10993743166788,0.0009732072518100869,28,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0029,6.230491265861675,0.0006552002731964586,29,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0030,6.4534479420574336,0.0006523572488158183,30,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0031,3.9786288362845093,0.0005766435932749994,31,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0032,0.6119830257285492,0.0005758359488326061,32,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0033,8.259397019243082,0.000504320934526964,33,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0034,8.928267047830358,0.0004359791994404368,34,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0035,7.23379630874259,0.00039568920468509565,35,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0036,9.797798084993818,0.0003914339788380577,36,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0037,7.100022303025135,0.0003772944547071019,37,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0038,8.571536365917144,0.0003688572290412192,38,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0039,11.514564491701162,0.000349905930799227,39,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0040,16.70945504706235,0.00030445057745571714,40,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0041,0.27754801143491076,0.00029419584888847007,41,NO,NO,NO,
retained_peak:observation:4a4591056283a9debf557521:0042,5.6730995753722775,0.0002849092832472718,42,NO,NO,NO,
