source_product_id,mission,variability_context,source_publication,publication_year,DOI_or_bibliographic_identifier,source_identifier_system,reported_photometric_quantity_or_fields,local_project_location_or_record,role_in_project,entered_frozen_experiment,notes,provenance_status
konkoly_blazhko_data,Kepler,blazhko_rr_lyrae,"J. M. Benkő, E. Plachy, R. Szabó, L. Molnár, Z. Kolláth: Long Time-Scale Behaviour of the Blazhko Effect from rectified Kepler Data; ApJS, 213, 31, 2014",2014,UNRESOLVED,KIC,time: column 1 (zero-based); flux: column 5 corrected flux (zero-based); magnitude: column 6 (zero-based),config/data/stellar_corpus_sources.json (source_id=konkoly_blazhko_data); [private path omitted] (NUME_FISIER=Blazhko_data),development; corpus/development context only,NO,"Not used to generate the frozen anomaly-detection results. Object estimate comes from config/blazhko_complete_manifest.json. Column mapping comes from the existing repository loader, not from observation inspection.",PARTIALLY VERIFIED
konkoly_kic_7021124,Kepler,blazhko_rr_lyrae_with_additional_modes,"J. M. Benkő, R. Szabó: The Blazhko effect and additional excited modes in RR Lyrae stars; ApJL, 809, L19, 2015",2015,UNRESOLVED,KIC,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_kic_7021124); [private path omitted] (NUME_FISIER=KIC7021124.txt),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. No data columns were documented in the allowed inputs.,PARTIALLY VERIFIED
konkoly_kic_9508655,Kepler,blazhko_rr_lyrae_with_additional_modes,"J. M. Benkő, R. Szabó: The Blazhko effect and additional excited modes in RR Lyrae stars; ApJL, 809, L19, 2016",2016,UNRESOLVED,KIC,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_kic_9508655); [private path omitted] (NUME_FISIER=KIC9508655.txt),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. No data columns were documented in the allowed inputs.,PARTIALLY VERIFIED
konkoly_kepler_nonbl_lc,Kepler,non_blazhko_rr_lyrae,"J. M. Benkő: On the connection between almost periodic functions and Blazhko light curves; MNRAS, 473, 412, 2018 (long cadence data)",2018,UNRESOLVED,KIC,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_kepler_nonbl_lc); [private path omitted] (NUME_FISIER=nonBL),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Object count is not stated in the allowed inputs.,PARTIALLY VERIFIED
konkoly_kepler_nonbl_sc,Kepler,non_blazhko_rr_lyrae,"J. Benkő, J. Jurcsik, A. Derekas: Revisiting the Kepler non-Blazhko RR Lyrae sample; MNRAS, 485, 5897, 2019 (short cadence data)",2019,UNRESOLVED,KIC,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_kepler_nonbl_sc); [private path omitted] (NUME_FISIER=nonBL_SC),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Object count is not stated in the allowed inputs.,PARTIALLY VERIFIED
konkoly_kepler_eclipsing_binaries,Kepler,short_period_eclipsing_binary,"J. Bienias, A. Bódi, A. Forró et al.: Background Short Period Eclipsing Binaries in the Original Kepler Field; ApJS, 256, 11, 2022",2022,UNRESOLVED,KIC,flux_error: suggested by source name; column unconfirmed,config/data/stellar_corpus_sources.json (source_id=konkoly_kepler_eclipsing_binaries); [private path omitted] (NUME_FISIER=merged_lcdata_werr),benchmark; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Compatibility is interface-level only and does not assert scientific eligibility.,PARTIALLY VERIFIED
konkoly_k2_e2_rr_lyrae,K2,rr_lyrae,"L. Molnár et al.: An RR Lyrae family portrait: 33 stars observed in Pisces with K2-E2; MNRAS, 452, 4283, 2015",2015,doi:10.1093/mnras/stv1638; arXiv:1507.04714,EPIC_or_source_specific,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_k2_e2_rr_lyrae); [private path omitted] (NUME_FISIER=K2-E2_RR_LYRAE),frozen_experimental_source,YES,Only source product used to generate the frozen anomaly-detection results.,PROJECT-VERIFIED
konkoly_k2_leo_iv_rr_lyrae,K2,extragalactic_rr_lyrae,"L. Molnár et al.: K2 observations of extragalactic RR Lyrae stars in the dwarf galaxy Leo IV; ApJ, 812, 2, 2015",2015,UNRESOLVED,source_specific,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_k2_leo_iv_rr_lyrae); [private path omitted] (NUME_FISIER=molnar_k2-leo4-rrlyr_data),future_extension; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Object count is not stated in the allowed inputs.,PARTIALLY VERIFIED
konkoly_k2_eap_rr_lyrae,K2,rr_lyrae,"E. Plachy et al.: Extended Aperture Photometry of K2 RR Lyrae stars; ApJS, 244, 32, 2019",2019,UNRESOLVED,EPIC,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_k2_eap_rr_lyrae); [private path omitted] (NUME_FISIER=k2k2_eap_rrlyrae),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. No data columns were documented in the allowed inputs.,PARTIALLY VERIFIED
konkoly_k2_campaign_variables,K2,variable_star_unspecified,"A. Bódi et al.: Automated Extended Aperture Photometry of K2 variable stars; PASP 134, id014503, 2022",2022,UNRESOLVED,EPIC,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_k2_campaign_variables); [private path omitted] (NUME_FISIER=k2_campaign),anomaly_candidates; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Mixed-class scope requires later label harmonization.,PARTIALLY VERIFIED
konkoly_corot_rr_lyrae,CoRoT,rr_lyrae,"J. M. Benkő et al.: Finest light curve details, physical parameters, and period fluctuations of CoRoT RR Lyrae stars; MNRAS, 463, 1769, 2016",2016,UNRESOLVED,CoRoT_ID,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_corot_rr_lyrae); [private path omitted] (NUME_FISIER=corrot_RR_data),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Workbook source name spells corrot; canonical mission spelling is CoRoT.,PARTIALLY VERIFIED
konkoly_tess_v764_mon,TESS,rrc_candidate,"J. M. Benkő, Á. Sódor, A. Pál: Investigations of the Galactic field RRc candidates V764 Mon and HY Com; AcA, 71, 55, 2021",2021,UNRESOLVED,variable_star_name,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_tess_v764_mon); [private path omitted] (NUME_FISIER=V764mon_tessffi_corrected.dat),future_extension; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. The source filename identifies V764 Mon only; count is therefore one.,PARTIALLY VERIFIED
konkoly_tess_rrl_firstlight,TESS,rr_lyrae,"Molnár et al.: First results on RR Lyrae stars with the TESS space telescope; ApJS, A8, 2022",2022,UNRESOLVED,TIC_or_variable_star_name,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_tess_rrl_firstlight); [private path omitted] (NUME_FISIER=tess_rrl_firstlight_all_lcs),benchmark; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Object count is not stated in the allowed inputs.,PARTIALLY VERIFIED
konkoly_tess_rrc,TESS,rrc,"Benkő et al.: Time series analysis of bright TESS RRc stars; MNRAS, 521, 443, 2023",2023,UNRESOLVED,TIC_or_variable_star_name,Not established in source registry,config/data/stellar_corpus_sources.json (source_id=konkoly_tess_rrc); [private path omitted] (NUME_FISIER=TESS_RRc_data),validation; corpus/development context only,NO,Not used to generate the frozen anomaly-detection results. Object count is not stated in the allowed inputs.,PARTIALLY VERIFIED
