record_type,comparison,k,spearman_rho,spearman_p_value,kendall_tau,kendall_p_value,intersection_count,jaccard_similarity,overlap_coefficient,global_kendall_w
PAIRWISE_RANK,IF-LOF,,0.8773395721925135,2.092020241089354e-11,0.7121212121212122,7.61670730448581e-11,,,,
PAIRWISE_RANK,IF-AE,,0.8094919786096257,1.1712407732306406e-8,0.6174242424242424,5.585428719270219e-8,,,,
PAIRWISE_RANK,LOF-AE,,0.921457219251337,2.860191959153779e-14,0.7386363636363638,7.949527077239086e-12,,,,
GLOBAL_CONCORDANCE,IF-LOF-AE,,,,,,,,,0.9129530600118836
PAIRWISE_TOP_K,IF-LOF,3,,,,,3,1,1,
PAIRWISE_TOP_K,IF-AE,3,,,,,1,0.2,0.3333333333333333,
PAIRWISE_TOP_K,LOF-AE,3,,,,,1,0.2,0.3333333333333333,
THREE_MODEL_TOP_K,IF-LOF-AE,3,,,,,1,,0.3333333333333333,
PAIRWISE_TOP_K,IF-LOF,5,,,,,3,0.42857142857142855,0.6,
PAIRWISE_TOP_K,IF-AE,5,,,,,3,0.42857142857142855,0.6,
PAIRWISE_TOP_K,LOF-AE,5,,,,,3,0.42857142857142855,0.6,
THREE_MODEL_TOP_K,IF-LOF-AE,5,,,,,3,,0.6,
PAIRWISE_TOP_K,IF-LOF,10,,,,,9,0.8181818181818182,0.9,
PAIRWISE_TOP_K,IF-AE,10,,,,,7,0.5384615384615384,0.7,
PAIRWISE_TOP_K,LOF-AE,10,,,,,7,0.5384615384615384,0.7,
THREE_MODEL_TOP_K,IF-LOF-AE,10,,,,,7,,0.7,
